GeneID_curateA,GeneID_curateB,combined_score,phys_score
ENSRNOG00000000010,ENSRNOG00000021103,985,938
ENSRNOG00000000010,ENSRNOG00000050220,984,940
ENSRNOG00000000010,ENSRNOG00000055499,934,799
ENSRNOG00000000017,ENSRNOG00000000017,936,903
ENSRNOG00000000017,ENSRNOG00000017243,933,900
ENSRNOG00000000047,ENSRNOG00000007650,949,930
ENSRNOG00000000047,ENSRNOG00000016474,923,900
ENSRNOG00000000047,ENSRNOG00000017874,769,719
ENSRNOG00000000047,ENSRNOG00000019556,933,907
ENSRNOG00000000047,ENSRNOG00000020451,955,937
ENSRNOG00000000047,ENSRNOG00000024553,803,802
ENSRNOG00000000047,NA,877,787
ENSRNOG00000000053,ENSRNOG00000006345,898,756
ENSRNOG00000000053,ENSRNOG00000013743,809,722
ENSRNOG00000000062,ENSRNOG00000000075,793,720
ENSRNOG00000000062,ENSRNOG00000000467,977,950
ENSRNOG00000000062,ENSRNOG00000001212,720,720
ENSRNOG00000000062,ENSRNOG00000003726,793,730
ENSRNOG00000000062,ENSRNOG00000004339,758,720
ENSRNOG00000000062,ENSRNOG00000004773,957,809
ENSRNOG00000000062,ENSRNOG00000006004,792,730
ENSRNOG00000000062,ENSRNOG00000008929,831,720
ENSRNOG00000000062,ENSRNOG00000009568,731,720
ENSRNOG00000000062,ENSRNOG00000015191,797,739
ENSRNOG00000000062,ENSRNOG00000016585,840,825
ENSRNOG00000000062,ENSRNOG00000016875,903,736
ENSRNOG00000000062,ENSRNOG00000017509,817,720
ENSRNOG00000000062,ENSRNOG00000018532,907,899
ENSRNOG00000000062,ENSRNOG00000019097,729,720
ENSRNOG00000000062,ENSRNOG00000020250,828,803
ENSRNOG00000000062,ENSRNOG00000020336,859,720
ENSRNOG00000000062,ENSRNOG00000021492,770,720
ENSRNOG00000000062,ENSRNOG00000045918,846,720
ENSRNOG00000000062,ENSRNOG00000046955,895,736
ENSRNOG00000000062,ENSRNOG00000048113,896,734
ENSRNOG00000000062,ENSRNOG00000048187,781,720
ENSRNOG00000000062,ENSRNOG00000049215,877,736
ENSRNOG00000000062,ENSRNOG00000051433,818,796
ENSRNOG00000000062,ENSRNOG00000052087,727,720
ENSRNOG00000000062,ENSRNOG00000058663,831,743
ENSRNOG00000000062,ENSRNOG00000061603,736,720
ENSRNOG00000000064,ENSRNOG00000001551,999,976
ENSRNOG00000000064,ENSRNOG00000001991,999,999
ENSRNOG00000000064,ENSRNOG00000002840,999,999
ENSRNOG00000000064,ENSRNOG00000003269,729,720
ENSRNOG00000000064,ENSRNOG00000003626,999,998
ENSRNOG00000000064,ENSRNOG00000003858,768,720
ENSRNOG00000000064,ENSRNOG00000006542,898,802
ENSRNOG00000000064,ENSRNOG00000014625,999,999
ENSRNOG00000000064,ENSRNOG00000015320,991,907
ENSRNOG00000000064,ENSRNOG00000017032,999,998
ENSRNOG00000000064,ENSRNOG00000020296,999,998
ENSRNOG00000000064,ENSRNOG00000027049,999,990
ENSRNOG00000000064,ENSRNOG00000028884,999,999
ENSRNOG00000000064,ENSRNOG00000031431,893,737
ENSRNOG00000000064,ENSRNOG00000031979,999,998
ENSRNOG00000000064,ENSRNOG00000036814,726,720
ENSRNOG00000000064,ENSRNOG00000049912,999,998
ENSRNOG00000000064,ENSRNOG00000064742,999,998
ENSRNOG00000000064,ENSRNOG00000066701,999,998
ENSRNOG00000000064,NA,997,992
ENSRNOG00000000068,ENSRNOG00000000068,818,751
