geneA,geneB,Complex_ac,ComplexID
ENSRNOG00000000062,ENSRNOG00000000467,CPX-2283,8125
ENSRNOG00000000062,ENSRNOG00000000847,CPX-2283,8382
ENSRNOG00000000062,ENSRNOG00000000885,CPX-2283,8382
ENSRNOG00000000062,ENSRNOG00000004773,CPX-2283,8382
ENSRNOG00000000062,ENSRNOG00000005276,CPX-2283,8382
ENSRNOG00000000066,ENSRNOG00000005310,CPX-7967,NA
ENSRNOG00000000066,ENSRNOG00000005828,CPX-7967,NA
ENSRNOG00000000066,ENSRNOG00000058914,CPX-7967,NA
ENSRNOG00000000070,ENSRNOG00000002757,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000007160,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000008212,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000008597,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000008610,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000018364,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000019245,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000020527,CPX-642,NA
ENSRNOG00000000070,ENSRNOG00000023107,CPX-1004,6657
ENSRNOG00000000070,ENSRNOG00000050321,CPX-1004,6657
ENSRNOG00000000075,ENSRNOG00000017509,CPX-2196,6910
ENSRNOG00000000075,ENSRNOG00000020336,CPX-2196,6910
ENSRNOG00000000075,ENSRNOG00000021492,CPX-2196,NA
ENSRNOG00000000075,ENSRNOG00000042679,CPX-2196,NA
ENSRNOG00000000075,ENSRNOG00000048187,CPX-2318,NA
ENSRNOG00000000075,ENSRNOG00000058663,CPX-2196,7304
ENSRNOG00000000082,ENSRNOG00000012410,CPX-856,NA
ENSRNOG00000000082,ENSRNOG00000017469,CPX-899,NA
ENSRNOG00000000104,ENSRNOG00000003497,CPX-2488,770
ENSRNOG00000000104,ENSRNOG00000004373,CPX-2488,770
ENSRNOG00000000104,ENSRNOG00000004883,CPX-2488,NA
ENSRNOG00000000104,ENSRNOG00000007315,CPX-2488,770
ENSRNOG00000000104,ENSRNOG00000007701,CPX-2488,770
ENSRNOG00000000104,ENSRNOG00000008456,CPX-2488,770
ENSRNOG00000000104,ENSRNOG00000012760,CPX-2488,NA
ENSRNOG00000000104,ENSRNOG00000018550,CPX-2488,NA
ENSRNOG00000000104,ENSRNOG00000022877,CPX-2488,NA
ENSRNOG00000000104,ENSRNOG00000030520,CPX-2488,NA
ENSRNOG00000000104,ENSRNOG00000032739,CPX-2488,770
ENSRNOG00000000104,ENSRNOG00000034233,CPX-2488,NA
ENSRNOG00000000104,ENSRNOG00000066862,CPX-2488,NA
ENSRNOG00000000111,ENSRNOG00000012046,CPX-8149,6852
ENSRNOG00000000111,ENSRNOG00000016394,CPX-8149,NA
ENSRNOG00000000155,ENSRNOG00000002795,CPX-6199,162
