Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000008,ENSRNOG00000067589,1
ENSRNOG00000000010,ENSRNOG00000000062,1
ENSRNOG00000000010,ENSRNOG00000002327,1
ENSRNOG00000000010,ENSRNOG00000006744,1
ENSRNOG00000000010,ENSRNOG00000006832,1
ENSRNOG00000000010,ENSRNOG00000007302,1
ENSRNOG00000000010,ENSRNOG00000007890,1
ENSRNOG00000000010,ENSRNOG00000008212,1
ENSRNOG00000000010,ENSRNOG00000014516,1
ENSRNOG00000000010,ENSRNOG00000020489,2
ENSRNOG00000000010,ENSRNOG00000053813,1
ENSRNOG00000000010,ENSRNOG00000055915,1
ENSRNOG00000000017,ENSRNOG00000000885,1
ENSRNOG00000000017,ENSRNOG00000002680,1
ENSRNOG00000000017,ENSRNOG00000003407,1
ENSRNOG00000000017,ENSRNOG00000004145,1
ENSRNOG00000000017,ENSRNOG00000004291,1
ENSRNOG00000000017,ENSRNOG00000004760,1
ENSRNOG00000000017,ENSRNOG00000006049,1
ENSRNOG00000000017,ENSRNOG00000007330,1
ENSRNOG00000000017,ENSRNOG00000007853,1
ENSRNOG00000000017,ENSRNOG00000008668,1
ENSRNOG00000000017,ENSRNOG00000009887,2
ENSRNOG00000000017,ENSRNOG00000010947,1
ENSRNOG00000000017,ENSRNOG00000013422,1
ENSRNOG00000000017,ENSRNOG00000013674,1
ENSRNOG00000000017,ENSRNOG00000014350,1
ENSRNOG00000000017,ENSRNOG00000014452,1
ENSRNOG00000000017,ENSRNOG00000015297,1
ENSRNOG00000000017,ENSRNOG00000016478,1
ENSRNOG00000000017,ENSRNOG00000017489,1
ENSRNOG00000000017,ENSRNOG00000017916,1
ENSRNOG00000000017,ENSRNOG00000018940,1
ENSRNOG00000000017,ENSRNOG00000020560,1
ENSRNOG00000000017,ENSRNOG00000021103,1
ENSRNOG00000000017,ENSRNOG00000024882,1
ENSRNOG00000000017,ENSRNOG00000024923,1
ENSRNOG00000000017,ENSRNOG00000025167,1
ENSRNOG00000000017,ENSRNOG00000031325,1
ENSRNOG00000000017,ENSRNOG00000033765,1
ENSRNOG00000000017,ENSRNOG00000042118,1
ENSRNOG00000000017,ENSRNOG00000047088,1
ENSRNOG00000000017,ENSRNOG00000054286,1
ENSRNOG00000000017,ENSRNOG00000055082,1
ENSRNOG00000000017,ENSRNOG00000061429,1
ENSRNOG00000000017,ENSRNOG00000062870,1
ENSRNOG00000000017,ENSRNOG00000062893,1
ENSRNOG00000000024,ENSRNOG00000016352,1
ENSRNOG00000000024,ENSRNOG00000019651,1
ENSRNOG00000000036,ENSRNOG00000003374,1
ENSRNOG00000000036,ENSRNOG00000012812,1
ENSRNOG00000000040,ENSRNOG00000003098,1
ENSRNOG00000000040,ENSRNOG00000005278,1
ENSRNOG00000000040,ENSRNOG00000014520,1
ENSRNOG00000000040,ENSRNOG00000017837,1
ENSRNOG00000000040,ENSRNOG00000017883,1
ENSRNOG00000000040,ENSRNOG00000020546,1
ENSRNOG00000000040,ENSRNOG00000029738,1
ENSRNOG00000000040,ENSRNOG00000030391,1
ENSRNOG00000000040,ENSRNOG00000058545,1
ENSRNOG00000000040,ENSRNOG00000069998,1
ENSRNOG00000000041,ENSRNOG00000000165,1
ENSRNOG00000000041,ENSRNOG00000002826,1
ENSRNOG00000000041,ENSRNOG00000003536,1
ENSRNOG00000000041,ENSRNOG00000010023,1
ENSRNOG00000000041,ENSRNOG00000010695,1
ENSRNOG00000000041,ENSRNOG00000020480,1
ENSRNOG00000000041,ENSRNOG00000021145,2
ENSRNOG00000000041,ENSRNOG00000037436,1
ENSRNOG00000000042,ENSRNOG00000007307,2
ENSRNOG00000000042,ENSRNOG00000013409,1
ENSRNOG00000000042,ENSRNOG00000015822,1
ENSRNOG00000000042,ENSRNOG00000021082,1
ENSRNOG00000000042,ENSRNOG00000021954,2
ENSRNOG00000000042,ENSRNOG00000036917,1
ENSRNOG00000000042,ENSRNOG00000060229,1
ENSRNOG00000000044,ENSRNOG00000015221,1
ENSRNOG00000000047,ENSRNOG00000009951,1
ENSRNOG00000000047,ENSRNOG00000029450,1
ENSRNOG00000000047,ENSRNOG00000030700,1
ENSRNOG00000000047,ENSRNOG00000031033,1
ENSRNOG00000000062,ENSRNOG00000000010,1
ENSRNOG00000000062,ENSRNOG00000002378,1
ENSRNOG00000000062,ENSRNOG00000005271,2
ENSRNOG00000000062,ENSRNOG00000018247,1
ENSRNOG00000000062,ENSRNOG00000023453,1
ENSRNOG00000000062,ENSRNOG00000029707,1
ENSRNOG00000000062,ENSRNOG00000047014,1
ENSRNOG00000000062,ENSRNOG00000047088,1
ENSRNOG00000000062,ENSRNOG00000050790,2
ENSRNOG00000000066,ENSRNOG00000000985,1
ENSRNOG00000000066,ENSRNOG00000014859,1
ENSRNOG00000000066,ENSRNOG00000038872,2
ENSRNOG00000000066,ENSRNOG00000047057,1
ENSRNOG00000000068,ENSRNOG00000003434,1
ENSRNOG00000000068,ENSRNOG00000003821,1
ENSRNOG00000000068,ENSRNOG00000004760,1
ENSRNOG00000000068,ENSRNOG00000005906,1
ENSRNOG00000000068,ENSRNOG00000007018,1
ENSRNOG00000000068,ENSRNOG00000007246,1
ENSRNOG00000000068,ENSRNOG00000009771,1
ENSRNOG00000000068,ENSRNOG00000009970,1
ENSRNOG00000000068,ENSRNOG00000010776,1
ENSRNOG00000000068,ENSRNOG00000013536,2
ENSRNOG00000000068,ENSRNOG00000018708,1
ENSRNOG00000000068,ENSRNOG00000029971,1
ENSRNOG00000000068,ENSRNOG00000032699,1
ENSRNOG00000000068,ENSRNOG00000043154,1
ENSRNOG00000000068,ENSRNOG00000051204,1
ENSRNOG00000000068,ENSRNOG00000053468,1
ENSRNOG00000000068,ENSRNOG00000055382,1
ENSRNOG00000000068,ENSRNOG00000065267,1
ENSRNOG00000000070,ENSRNOG00000000632,2
ENSRNOG00000000070,ENSRNOG00000001103,2
ENSRNOG00000000070,ENSRNOG00000006967,1
ENSRNOG00000000070,ENSRNOG00000008626,1
ENSRNOG00000000070,ENSRNOG00000010798,1
ENSRNOG00000000070,ENSRNOG00000012263,1
ENSRNOG00000000070,ENSRNOG00000016558,1
ENSRNOG00000000070,ENSRNOG00000019342,1
ENSRNOG00000000070,ENSRNOG00000019639,1
ENSRNOG00000000070,ENSRNOG00000019937,2
ENSRNOG00000000070,ENSRNOG00000020407,1
ENSRNOG00000000070,ENSRNOG00000021808,1
ENSRNOG00000000070,ENSRNOG00000021886,1
ENSRNOG00000000070,ENSRNOG00000023781,1
ENSRNOG00000000070,ENSRNOG00000028845,2
ENSRNOG00000000070,ENSRNOG00000031033,1
ENSRNOG00000000070,ENSRNOG00000031934,1
ENSRNOG00000000070,ENSRNOG00000038916,2
ENSRNOG00000000070,ENSRNOG00000040257,2
ENSRNOG00000000070,ENSRNOG00000062721,1
ENSRNOG00000000070,ENSRNOG00000070252,1
ENSRNOG00000000075,ENSRNOG00000004760,1
ENSRNOG00000000075,ENSRNOG00000011467,1
ENSRNOG00000000075,ENSRNOG00000013669,1
ENSRNOG00000000075,ENSRNOG00000022305,1
ENSRNOG00000000082,ENSRNOG00000002417,1
ENSRNOG00000000082,ENSRNOG00000005927,1
ENSRNOG00000000082,ENSRNOG00000019459,1
ENSRNOG00000000082,ENSRNOG00000021840,1
ENSRNOG00000000082,ENSRNOG00000023484,1
ENSRNOG00000000082,ENSRNOG00000055915,1
ENSRNOG00000000095,ENSRNOG00000010137,1
ENSRNOG00000000095,ENSRNOG00000010556,1
ENSRNOG00000000095,ENSRNOG00000032590,1
ENSRNOG00000000095,ENSRNOG00000033921,1
ENSRNOG00000000095,ENSRNOG00000046949,1
ENSRNOG00000000096,ENSRNOG00000027736,1
ENSRNOG00000000097,ENSRNOG00000000157,1
ENSRNOG00000000097,ENSRNOG00000014361,1
ENSRNOG00000000097,ENSRNOG00000015416,2
ENSRNOG00000000097,ENSRNOG00000018007,1
ENSRNOG00000000097,ENSRNOG00000036687,2
ENSRNOG00000000097,ENSRNOG00000056526,1
ENSRNOG00000000098,ENSRNOG00000001554,1
ENSRNOG00000000098,ENSRNOG00000002210,1
ENSRNOG00000000098,ENSRNOG00000003443,2
ENSRNOG00000000098,ENSRNOG00000004013,1
ENSRNOG00000000098,ENSRNOG00000004314,1
ENSRNOG00000000098,ENSRNOG00000004760,1
ENSRNOG00000000098,ENSRNOG00000004783,1
ENSRNOG00000000098,ENSRNOG00000005223,1
ENSRNOG00000000098,ENSRNOG00000008949,1
ENSRNOG00000000098,ENSRNOG00000009696,1
ENSRNOG00000000098,ENSRNOG00000011540,1
ENSRNOG00000000098,ENSRNOG00000012798,1
ENSRNOG00000000098,ENSRNOG00000014904,1
ENSRNOG00000000098,ENSRNOG00000016708,1
ENSRNOG00000000098,ENSRNOG00000018430,1
ENSRNOG00000000098,ENSRNOG00000018524,2
ENSRNOG00000000098,ENSRNOG00000024402,1
ENSRNOG00000000098,ENSRNOG00000027026,1
ENSRNOG00000000098,ENSRNOG00000039282,2
ENSRNOG00000000098,ENSRNOG00000051563,1
ENSRNOG00000000098,ENSRNOG00000053813,2
ENSRNOG00000000104,ENSRNOG00000000512,1
ENSRNOG00000000104,ENSRNOG00000014013,1
ENSRNOG00000000104,ENSRNOG00000018945,1
ENSRNOG00000000104,ENSRNOG00000052256,1
ENSRNOG00000000105,ENSRNOG00000004760,1
ENSRNOG00000000105,ENSRNOG00000008668,1
ENSRNOG00000000111,ENSRNOG00000004781,1
ENSRNOG00000000112,ENSRNOG00000000415,1
ENSRNOG00000000112,ENSRNOG00000001104,1
ENSRNOG00000000112,ENSRNOG00000001148,1
ENSRNOG00000000112,ENSRNOG00000001517,1
ENSRNOG00000000112,ENSRNOG00000002768,1
ENSRNOG00000000112,ENSRNOG00000002963,1
ENSRNOG00000000112,ENSRNOG00000004635,1
ENSRNOG00000000112,ENSRNOG00000004760,1
ENSRNOG00000000112,ENSRNOG00000005993,1
ENSRNOG00000000112,ENSRNOG00000006198,1
ENSRNOG00000000112,ENSRNOG00000008674,1
ENSRNOG00000000112,ENSRNOG00000011740,1
ENSRNOG00000000112,ENSRNOG00000014969,1
ENSRNOG00000000112,ENSRNOG00000015262,1
ENSRNOG00000000112,ENSRNOG00000015654,1
ENSRNOG00000000112,ENSRNOG00000017233,1
ENSRNOG00000000112,ENSRNOG00000024207,2
ENSRNOG00000000112,ENSRNOG00000025892,1
ENSRNOG00000000112,ENSRNOG00000033973,1
ENSRNOG00000000112,ENSRNOG00000036598,1
ENSRNOG00000000112,ENSRNOG00000054314,1
ENSRNOG00000000112,ENSRNOG00000058733,1
ENSRNOG00000000112,ENSRNOG00000060123,1
ENSRNOG00000000113,ENSRNOG00000002680,1
ENSRNOG00000000113,ENSRNOG00000005034,1
ENSRNOG00000000121,ENSRNOG00000010780,1
ENSRNOG00000000121,ENSRNOG00000015517,1
ENSRNOG00000000121,ENSRNOG00000020009,1
ENSRNOG00000000121,ENSRNOG00000020426,2
ENSRNOG00000000122,ENSRNOG00000004760,1
ENSRNOG00000000122,ENSRNOG00000017803,1
ENSRNOG00000000122,ENSRNOG00000029707,1
ENSRNOG00000000122,ENSRNOG00000051563,1
ENSRNOG00000000129,ENSRNOG00000000521,1
ENSRNOG00000000129,ENSRNOG00000001289,1
ENSRNOG00000000129,ENSRNOG00000003207,1
ENSRNOG00000000129,ENSRNOG00000010889,1
ENSRNOG00000000129,ENSRNOG00000011619,1
ENSRNOG00000000129,ENSRNOG00000013969,1
