Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000010,ENSRNOG00000007302,1
ENSRNOG00000000010,ENSRNOG00000053813,1
ENSRNOG00000000017,ENSRNOG00000000885,1
ENSRNOG00000000017,ENSRNOG00000002680,1
ENSRNOG00000000017,ENSRNOG00000003407,1
ENSRNOG00000000017,ENSRNOG00000004145,1
ENSRNOG00000000017,ENSRNOG00000004760,1
ENSRNOG00000000017,ENSRNOG00000006049,1
ENSRNOG00000000017,ENSRNOG00000007330,1
ENSRNOG00000000017,ENSRNOG00000008668,1
ENSRNOG00000000017,ENSRNOG00000010947,1
ENSRNOG00000000017,ENSRNOG00000013422,1
ENSRNOG00000000017,ENSRNOG00000013674,1
ENSRNOG00000000017,ENSRNOG00000014350,1
ENSRNOG00000000017,ENSRNOG00000014452,1
ENSRNOG00000000017,ENSRNOG00000017489,1
ENSRNOG00000000017,ENSRNOG00000017916,1
ENSRNOG00000000017,ENSRNOG00000020560,1
ENSRNOG00000000017,ENSRNOG00000021103,1
ENSRNOG00000000017,ENSRNOG00000024923,1
ENSRNOG00000000017,ENSRNOG00000031325,1
ENSRNOG00000000017,ENSRNOG00000033765,1
ENSRNOG00000000017,ENSRNOG00000042118,1
ENSRNOG00000000017,ENSRNOG00000054286,1
ENSRNOG00000000017,ENSRNOG00000055082,1
ENSRNOG00000000040,ENSRNOG00000014520,1
ENSRNOG00000000040,ENSRNOG00000017837,1
ENSRNOG00000000040,ENSRNOG00000017883,1
ENSRNOG00000000040,ENSRNOG00000020546,1
ENSRNOG00000000040,ENSRNOG00000029738,1
ENSRNOG00000000040,ENSRNOG00000069998,1
ENSRNOG00000000042,ENSRNOG00000036917,1
ENSRNOG00000000044,ENSRNOG00000015221,1
ENSRNOG00000000047,ENSRNOG00000029450,1
ENSRNOG00000000062,ENSRNOG00000018247,1
ENSRNOG00000000068,ENSRNOG00000004760,1
ENSRNOG00000000068,ENSRNOG00000010776,1
ENSRNOG00000000068,ENSRNOG00000032699,1
ENSRNOG00000000068,ENSRNOG00000043154,1
ENSRNOG00000000068,ENSRNOG00000065267,1
ENSRNOG00000000075,ENSRNOG00000004760,1
ENSRNOG00000000075,ENSRNOG00000011467,1
ENSRNOG00000000075,ENSRNOG00000013669,1
ENSRNOG00000000096,ENSRNOG00000027736,1
ENSRNOG00000000097,ENSRNOG00000000157,1
ENSRNOG00000000098,ENSRNOG00000004760,1
ENSRNOG00000000098,ENSRNOG00000018430,1
ENSRNOG00000000098,ENSRNOG00000027026,1
ENSRNOG00000000104,ENSRNOG00000052256,1
ENSRNOG00000000105,ENSRNOG00000004760,1
ENSRNOG00000000105,ENSRNOG00000008668,1
ENSRNOG00000000112,ENSRNOG00000004760,1
ENSRNOG00000000113,ENSRNOG00000002680,1
ENSRNOG00000000121,ENSRNOG00000015517,1
ENSRNOG00000000121,ENSRNOG00000020009,1
ENSRNOG00000000122,ENSRNOG00000004760,1
ENSRNOG00000000122,ENSRNOG00000017803,1
ENSRNOG00000000122,ENSRNOG00000051563,1
ENSRNOG00000000129,ENSRNOG00000000521,1
ENSRNOG00000000129,ENSRNOG00000001289,1
ENSRNOG00000000129,ENSRNOG00000010889,1
ENSRNOG00000000129,ENSRNOG00000013969,1
ENSRNOG00000000129,ENSRNOG00000027455,1
ENSRNOG00000000151,ENSRNOG00000004726,1
ENSRNOG00000000157,ENSRNOG00000000097,1
ENSRNOG00000000161,ENSRNOG00000001204,1
ENSRNOG00000000161,ENSRNOG00000003975,1
ENSRNOG00000000161,ENSRNOG00000006816,1
ENSRNOG00000000161,ENSRNOG00000009722,1
ENSRNOG00000000161,ENSRNOG00000009965,1
ENSRNOG00000000161,ENSRNOG00000010593,1
ENSRNOG00000000161,ENSRNOG00000020009,1
ENSRNOG00000000164,ENSRNOG00000004925,1
ENSRNOG00000000165,ENSRNOG00000025174,1
ENSRNOG00000000165,ENSRNOG00000039876,1
ENSRNOG00000000175,ENSRNOG00000006403,1
ENSRNOG00000000175,ENSRNOG00000006583,1
ENSRNOG00000000187,ENSRNOG00000061080,1
ENSRNOG00000000196,ENSRNOG00000067943,1
ENSRNOG00000000231,ENSRNOG00000006932,1
ENSRNOG00000000231,ENSRNOG00000013790,1
ENSRNOG00000000231,ENSRNOG00000018904,1
ENSRNOG00000000237,ENSRNOG00000018430,1
ENSRNOG00000000244,ENSRNOG00000015852,1
ENSRNOG00000000246,ENSRNOG00000003374,1
ENSRNOG00000000246,ENSRNOG00000018430,1
ENSRNOG00000000247,ENSRNOG00000031789,1
ENSRNOG00000000250,ENSRNOG00000010488,1
ENSRNOG00000000258,ENSRNOG00000004760,1
ENSRNOG00000000258,ENSRNOG00000018985,1
ENSRNOG00000000258,ENSRNOG00000022938,1
ENSRNOG00000000262,ENSRNOG00000004189,1
ENSRNOG00000000262,ENSRNOG00000004382,1
ENSRNOG00000000262,ENSRNOG00000042140,1
ENSRNOG00000000264,ENSRNOG00000023148,1
ENSRNOG00000000275,ENSRNOG00000017786,1
ENSRNOG00000000277,ENSRNOG00000002376,1
ENSRNOG00000000277,ENSRNOG00000003029,1
ENSRNOG00000000277,ENSRNOG00000003848,1
ENSRNOG00000000277,ENSRNOG00000004760,1
ENSRNOG00000000277,ENSRNOG00000005184,1
ENSRNOG00000000277,ENSRNOG00000005540,1
ENSRNOG00000000277,ENSRNOG00000007345,1
ENSRNOG00000000277,ENSRNOG00000008689,1
ENSRNOG00000000277,ENSRNOG00000013536,1
ENSRNOG00000000277,ENSRNOG00000017254,1
ENSRNOG00000000277,ENSRNOG00000017644,1
ENSRNOG00000000277,ENSRNOG00000017864,1
ENSRNOG00000000277,ENSRNOG00000020737,1
ENSRNOG00000000277,ENSRNOG00000021437,1
ENSRNOG00000000277,ENSRNOG00000021718,1
ENSRNOG00000000277,ENSRNOG00000022701,1
ENSRNOG00000000277,ENSRNOG00000046479,1
ENSRNOG00000000277,ENSRNOG00000052513,1
ENSRNOG00000000277,ENSRNOG00000061121,1
ENSRNOG00000000277,ENSRNOG00000061499,1
ENSRNOG00000000277,ENSRNOG00000070996,1
ENSRNOG00000000279,ENSRNOG00000013780,1
ENSRNOG00000000281,ENSRNOG00000005413,1
ENSRNOG00000000281,ENSRNOG00000038002,1
ENSRNOG00000000283,ENSRNOG00000004760,1
ENSRNOG00000000288,ENSRNOG00000006741,1
ENSRNOG00000000288,ENSRNOG00000015173,1
ENSRNOG00000000288,ENSRNOG00000042118,1
ENSRNOG00000000288,ENSRNOG00000060061,1
ENSRNOG00000000302,ENSRNOG00000047088,1
ENSRNOG00000000306,ENSRNOG00000016417,1
ENSRNOG00000000307,ENSRNOG00000000708,1
ENSRNOG00000000307,ENSRNOG00000001849,1
ENSRNOG00000000307,ENSRNOG00000002949,1
